,index,book_title,author_id,Year released,Rating,ratings
107,420,North and South (Paperback),209.0,1854,4.14,158995.0
108,421,The Rescue (Paperback),300.0,2000,4.12,190495.0
109,423,The Bodyguard (Hardcover),210.0,2022,4.13,46261.0
110,424,Uprooted (Hardcover),211.0,2015,4.05,209681.0
111,425,"Linger (The Wolves of Mercy Falls, #2)",300.0,2010,3.88,164873.0
112,426,"The Secret Diaries of Miss Miranda Cheever (Bevelstoke, #1)",20.0,2007,3.89,40314.0
113,427,Atonement (Paperback),212.0,2001,3.92,485925.0
114,428,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",213.0,2011,4.03,168341.0
115,429,"Last Sacrifice (Vampire Academy, #6)",86.0,2010,4.37,275495.0
116,432,"Shadow of Night (All Souls, #2)",71.0,2012,4.07,219870.0
117,433,"The Governess Affair (Brothers Sinister, #0.5)",113.0,2012,3.85,17261.0
118,434,The Guardian (Paperback),300.0,2003,4.16,172815.0
119,435,The Longest Ride (Hardcover),14.0,2012,4.16,127530.0
120,437,"Lover Mine (Black Dagger Brotherhood, #8)",42.0,2010,4.39,109537.0
121,439,"Royally Screwed (Royally, #1)",106.0,2016,4.01,42073.0
122,440,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",124.0,2013,4.17,119168.0
123,441,"Losing Hope (Hopeless, #2)",7.0,2013,4.29,135445.0
124,442,"Crossed (Matched, #2)",64.0,2011,3.52,234069.0
125,443,"After We Collided (After, #2)",102.0,2013,3.73,163476.0
126,444,Daisy Jones & The Six (Hardcover),18.0,2019,4.24,740691.0
127,445,"Broken Prince (The Royals, #2)",96.0,2016,4.0,85058.0
128,446,Making Faces (ebook),300.0,2013,4.3,69574.0
129,447,"Alex, Approximately (Hardcover)",216.0,2017,3.98,44969.0
130,448,"These Broken Stars (Starbound, #1)",217.0,2013,3.9,68276.0
131,449,The Sea of Tranquility (Kindle Edition),218.0,2012,4.3,83835.0
132,450,"The Secret (Highlands' Lairds, #1)",171.0,1992,4.25,49646.0
133,451,"Grey (Fifty Shades as Told by Christian, #1)",10.0,2015,3.81,167773.0
134,452,"American Royals (American Royals, #1)",219.0,2019,3.84,94008.0
135,453,"When Beauty Tamed the Beast (Fairy Tales, #2)",220.0,2011,4.06,27254.0
136,454,"The Royal We (Royal We, #1)",221.0,2015,3.81,61552.0
137,455,"Virgin River (Virgin River, #1)",222.0,2007,4.02,61829.0
138,456,The Upside of Falling (Hardcover),223.0,2020,3.65,63660.0
139,457,Like Water for Chocolate (Paperback),224.0,1989,3.95,347670.0
